"database","workload","nodes","threads","duration","throughput","readOperationCount","readAvgLatency","readMinLatency","readMaxLatency","readPer95Latency","readPer99Latency","insertOperationCount","insertAvgLatency","insertMinLatency","insertMaxLatency","insertPer95Latency","insertPer99Latency","updateOperationCount","updateAvgLatency","updateMinLatency","updateMaxLatency","updatePer95Latency","updatePer99Latency","rmwOperationCount","rmwAvgLatency","rmwMinLatency","rmwMaxLatency","rmwPer95Latency","rmwPer99Latency"
"Citus","B",3,21,60,474.622657,13059,59761.847,664,1120255,306943,478207,0,0,0,0,0,0,686,677303.7901,163584,2783231,1502207,2144255,0,0,0,0,0,0
"Citus","C",3,21,60,660.072896,19162,64757.23969,716,4345855,333311,627711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",3,21,60,552.386022,16062,14168.22463,656,345343,70399,113791,0,0,0,0,0,0,8107,123812.6868,10576,1343487,286463,560127,16708,67949.75461,997,1351679,201983,507647
"Citus","D",3,21,60,1425.363123,40494,10194.26663,574,771071,67455,136831,2261,354778.6024,8232,1521663,831999,1077247,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",3,30,60,316.375172,4549,48742.45636,696,1540095,208511,358911,0,0,0,0,0,0,4689,329023.913,25344,3659775,626175,1095679,0,0,0,0,0,0
"Citus","B",3,30,60,512.046892,14258,80115.27809,683,1457151,439295,674815,0,0,0,0,0,0,691,923395.0101,99328,3979263,2521087,3284991,0,0,0,0,0,0
"Citus","C",3,30,60,644.771031,18934,94079.10178,683,2715647,536063,953343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",3,30,60,555.581268,16235,19121.18165,655,461055,96319,144383,0,0,0,0,0,0,8210,178261.8938,12888,1892351,485887,742911,16955,96697.2115,1066,1893375,323071,657407
"Citus","D",3,30,60,1383.307881,39115,15288.84944,568,765951,105599,224127,2126,542560.2709,9816,1727487,1213439,1512447,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",3,39,60,302.231608,4383,68586.77983,731,2471935,285183,444927,0,0,0,0,0,0,4373,456638.5511,25664,6750207,774655,1965055,0,0,0,0,0,0
"Citus","B",3,39,60,463.375457,12993,128175.8652,617,1945599,696831,1044991,0,0,0,0,0,0,669,987461.0703,131840,5599231,2850815,3846143,0,0,0,0,0,0
"Citus","C",3,39,60,645.718449,18907,122692.4708,637,3815423,741375,1258495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",3,39,60,545.732855,16191,22614.07504,650,736767,114559,178303,0,0,0,0,0,0,8078,241033.3068,15944,4878335,595455,1378303,16736,128715.4753,1056,4878335,434943,1118207
"Citus","D",3,39,60,1393.849861,39860,21339.12479,560,933375,156159,326655,2192,662256.9507,11984,2085887,1498111,1839103,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",3,48,60,308.129421,4508,67656.12755,762,1853439,293375,466687,0,0,0,0,0,0,4486,564199.9037,35936,15114239,940543,4048895,0,0,0,0,0,0
"Citus","B",3,48,60,468.467579,13185,155107.6461,724,2584575,863231,1279999,0,0,0,0,0,0,689,1201381.434,200448,6766591,4071423,6098943,0,0,0,0,0,0
"Citus","C",3,48,60,623.796626,18509,154858.0462,641,4939775,912383,1417215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",3,48,60,546.201568,16126,24539.59097,662,910335,125631,202751,0,0,0,0,0,0,7951,308369.6099,16480,10960895,653311,3293183,16558,161405.3211,1017,10960895,443903,1994751
"Citus","D",3,48,60,1452.542959,42083,22598.47383,535,1220607,165119,355839,2319,816115.1393,142848,3246079,1862655,2928639,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",3,57,60,332.292235,4871,78552.64566,749,1875967,346367,589311,0,0,0,0,0,0,4899,609400.0294,24336,17498111,1000959,5218303,0,0,0,0,0,0
"Citus","B",3,57,60,464.204398,13206,179151.1152,696,2654207,1004031,1502207,0,0,0,0,0,0,719,1475055.844,99584,7835647,5177343,6148095,0,0,0,0,0,0
