timestamp,database,workload,nodes,threads,target,duration,throughput,readOperationCount,readAvgLatency,readMinLatency,readMaxLatency,readPer95Latency,readPer99Latency,insertOperationCount,insertAvgLatency,insertMinLatency,insertMaxLatency,insertPer95Latency,insertPer99Latency,updateOperationCount,updateAvgLatency,updateMinLatency,updateMaxLatency,updatePer95Latency,updatePer99Latency,scanOperationCount,scanAvgLatency,scanMinLatency,scanMaxLatency,scanPer95Latency,scanPer99Latency,rmwOperationCount,rmwAvgLatency,rmwMinLatency,rmwMaxLatency,rmwPer95Latency,rmwPer99Latency
2018-05-07 20:34:49,postgres,a,3,50,500,60.000000,349.758566,5490.000000,20760.482878,778.000000,574975.000000,89279.000000,294911.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5558.000000,456632.980928,12080.000000,14827519.000000,1833983.000000,7598079.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:36:50,postgres,b,3,50,100,60.000000,98.820887,2991.000000,9045.099298,979.000000,342015.000000,31967.000000,133247.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,162.000000,50675.790123,4120.000000,373503.000000,259455.000000,344831.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:38:51,postgres,b,3,50,200,60.000000,198.435325,5891.000000,6618.801052,949.000000,336895.000000,22415.000000,74559.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,319.000000,30022.047022,3992.000000,419327.000000,122879.000000,241919.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:40:52,postgres,b,3,50,300,60.000000,298.238332,8935.000000,9921.214438,806.000000,444415.000000,35519.000000,173055.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415.000000,56699.327711,2880.000000,651263.000000,294399.000000,433407.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:42:53,postgres,b,3,50,400,60.000000,397.975803,11620.000000,10690.638038,729.000000,391167.000000,51039.000000,167295.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,680.000000,75322.905882,2738.000000,725503.000000,343551.000000,586751.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:45:01,postgres,b,3,50,500,60.000000,497.623163,14818.000000,13142.507086,700.000000,573439.000000,63359.000000,236671.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,775.000000,80962.160000,3184.000000,821247.000000,336127.000000,495359.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:47:02,postgres,c,3,50,100,60.000000,98.905091,3055.000000,4481.208838,1036.000000,81855.000000,13471.000000,31103.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:49:03,postgres,c,3,50,200,60.000000,198.424544,6143.000000,4756.063324,864.000000,210047.000000,13679.000000,43327.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:51:04,postgres,c,3,50,300,60.000000,298.238910,9286.000000,5867.323282,811.000000,391423.000000,18223.000000,64991.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:53:04,postgres,c,3,50,400,60.000000,398.058737,12488.000000,5694.656230,772.000000,377855.000000,17375.000000,62815.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
